"estado";"cidade";"bairro";"cep";"logradouro";"latitude";"longitude";"altitude";"ddd";"cod_IBGE"
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"RJ";"Rio de Janeiro";"Centro";"20031120";"Rua das Marrecas";-22,9124101;-43,1778978;22;21;"3304557"
"RJ";"Rio de Janeiro";"Centro";"20031205";"Rua Senador Dantas";-22,9070828;-43,1819148;15,3;21;"3304557"
"RJ";"Rio de Janeiro";"Centro";"20231016";"Rua Ubaldino do Amaral";-22,9114105;-43,1867747;21,9;21;"3304557"
"RJ";"Rio de Janeiro";"Centro";"20231092";"Rua do Resende";-22,9070828;-43,1819148;15,3;21;"3304557"
"RJ";"Rio de Janeiro";"Centro";"20231110";"Rua da Relação";-22,9104439;-43,1840003;15;21;"3304557"
"RJ";"Rio de Janeiro";"Santa Teresa";"20240210";"Rua Áurea";-22,9222322;-43,1888146;99,4;21;"3304557"
"RJ";"Rio de Janeiro";"Rio Comprido";"20250450";"Rua Aristides Lobo";-22,9205767;-43,2086654;20,8;21;"3304557"
"RJ";"Rio de Janeiro";"Praça da Bandeira";"20260050";"Rua Barão de Ubá";-22,9149226;-43,2110968;15,9;21;"3304557"
"RJ";"Rio de Janeiro";"Tijuca";"20260230";"Rua Araújo Pena";-22,9234675;-43,2190992;29,2;21;"3304557"
"RJ";"Rio de Janeiro";"Rio Comprido";"20261066";"Rua do Bispo";-22,92401;-43,2125927;28,3;21;"3304557"
"RJ";"Rio de Janeiro";"Praça da Bandeira";"20270001";"Rua Mariz e Barros";-22,913142;-43,2169577;11,3;21;"3304557"
"RJ";"Rio de Janeiro";"Maracanã";"20270002";"Rua Mariz e Barros";-22,9127036;-43,2261662;12;21;"3304557"
"RJ";"Rio de Janeiro";"Maracanã";"20270020";"Rua Senador Furtado";-22,9117742;-43,2186339;12,3;21;"3304557"
"RJ";"Rio de Janeiro";"Maracanã";"20270021";"Rua Senador Furtado";-22,9117742;-43,2186339;12,3;21;"3304557"
"RJ";"Rio de Janeiro";"Maracanã";"20270040";"Rua Lúcio de Mendonça";-22,9161055;-43,2237009;17,1;21;"3304557"
"RJ";"Rio de Janeiro";"Praça da Bandeira";"20270132";"Rua do Matoso";-22,9115893;-43,2141267;15,2;21;"3304557"
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"RJ";"Rio de Janeiro";"Tijuca";"20270230";"Rua Doutor Satamini";-22,9325728;-43,2410248;33,7;21;"3304557"
"RJ";"Rio de Janeiro";"Maracanã";"20271021";"Rua Ibituruna";-22,9130433;-43,2205968;13,4;21;"3304557"
"RJ";"Rio de Janeiro";"Tijuca";"20271060";"Rua Professor Gabizo";-22,9325728;-43,2410248;33,7;21;"3304557"
"RJ";"Rio de Janeiro";"Maracanã";"20271065";"Rua Professor Gabizo";-22,9127036;-43,2261662;12;21;"3304557"
