"";"Grupo Econômico";"Valor Contratado";"Valor Desembolsado";"Valor Contratado Deflacionado"
"1";"Grupo Odebrecht";10422,3;9314,19;22451,75
"2";"Grupo Andrade Gutierrez";697,42;677,4;1598,01
"3";"Grupo Queiroz Galvão";395,27;396,92;942,98
"4";"Grupo Contern";240,46;236,19;548,17
"5";"Grupo OAS";192,29;192,1;390,56
"6";"Grupo Delta";138,46;136,83;336,94
"7";"Grupo Carioca Christiani-Nielsen Engenharia";59,59;59,59;142,52
"8";"Grupo Construcap";56,07;56,07;136,32
"9";"Globo Construções e Terraplanagem Ltda.";9,3;9,3;20,48
"10";"Grupo MBR";4,3;4,3;10,91
"11";"MJRE Construtora";1,45;1,45;2,99
"12";"Sanerio Engenharia Ltda.";0,39;0,39;1,02
"13";"Total";12217,3;11084,73;26582,65
