"fromPlace";"qtd_ruas_15_min";"qtd_ruas_45_min"
"Gláucio Gil";26;58
"Benvindo de Novaes";25;58
"Nova Barra";20;57
"Terminal Jd. Oceânico";20;32
"Gelson Fonseca";17;54
"Gilka Machado";17;54
"Guignard";17;55
"Cittá América";16;34
"Guiomar Novais";14;47
"Bosque da Barra";13;25
"Novo Leblon";13;24
"Salvador Allende";13;53
"Pontões/Barrasul";10;36
"Recreio Shopping";10;44
"Pedra de Itaúna";9;24
"Porto dos Cabritos";9;35
"Américas Park";8;22
"Cândido Magalhães";7;10
"Gramado";7;11
"Interlagos";7;21
"Parque das Rosas";7;30
"Prefeito Alim Pedro";7;11
"Barra Shopping";6;26
"Freeway";6;33
"Pina Rangel";6;10
"Ricardo Marinho";6;29
"Riviera";6;28
"Santa Mônica Jardins";6;23
"Terminal Alvorada";6;27
"Parque Esperança";5;10
"Golfe Olímpico";4;20
"Ana Gonzaga";3;9
"Dom Bosco";3;6
"Notre Dame";3;5
"Pontal";3;5
"Recanto das Garças";3;22
"Rio Mar";3;22
"São Jorge";3;9
"Cesarão";2;2
"Cesarão II";2;2
"Curral Falso";2;2
"Magarça";2;2
"Terminal Campo Grande";2;10
"31 de Outubro";1;1
"Cajueiros";1;2
"Cesarão III";1;2
"Cesarinho";1;2
"Cosmos";1;1
"Gastão Rangel";1;2
"General Olímpo";1;2
"Icurana";1;4
"Inhoaíba";1;7
"Júlia Miguel";1;1
"Parque São Paulo";1;1
"Santa Eugênia";1;1
"Santa Verediana";1;2
"Terminal Santa Cruz";1;1
"Três Pontes";1;2
"Vila Paciência";1;2
"Vilar Carioca";1;5
