"fromPlace";"tx_15m";"tx_45m";"name_neighborhood";"geom";"tx_bairro";"check_1";"check_2"
"Andre Rocha";0,12;0,14;"taquara";c(-43.3733812159109, -22.9294009631903);0,27;0;0
"Apóstolo Samuel Joaquim";0,17;0,15;"madureira";c(-43.341929434873, -22.882261741455);1,28;1;0
"Aracy Cabral";0,13;0,13;"taquara";c(-43.3682654267532, -22.9201320369847);0,27;0;0
"Capitão Menezes";0,13;0,15;"praça seca";c(-43.348634674309, -22.8927992208259);0,25;0;0
"Cardoso de Moraes - Viúva Garcia";0,21;0,18;"ramos";c(-43.2582891404859, -22.8574374033831);0,52;1;0
"Curicica";0,12;0,16;"jacarepaguá";c(-43.3887250822952, -22.9599226369959);0,22;0;0
"Guaporé";0,12;0,18;"penha circular";c(-43.2898353857388, -22.8377363489333);0,54;0;0
"Hospital Sarah";0,18;0,16;"jacarepaguá";c(-43.3766413295286, -22.9734010991472);0,22;1;0
"Ibiapina";0,16;0,18;"penha";c(-43.2724693569675, -22.8423734461399);0,89;0;0
"Ipase";0,12;0,14;"praça seca";c(-43.3570514072109, -22.9047243507544);0,25;0;0
"Lourenço Jorge";0,18;0,2;"barra da tijuca";c(-43.3658522950887, -22.9956054237954);0,36;0;0
"Madureira-Manaceia";0,17;0,15;"madureira";c(-43.3361449098668, -22.8774349200579);1,28;1;0
"Marambaia";0,16;0,16;"vicente de carvalho";c(-43.3204664646989, -22.8530439788829);0,77;0;0
"Mercadão";0,22;0,16;"madureira";c(-43.3357643118935, -22.8706865543788);1,28;1;0
"Merck";0,13;0,14;"taquara";c(-43.3717839996993, -22.935522403237);0,27;0;0
"Olaria - Cacique de Ramos";0,21;0,2;"olaria";c(-43.2654713806978, -22.8486153376566);0,51;1;0
"Pastor José Santos";0,15;0,18;"penha";c(-43.2834014949506, -22.8391166397244);0,89;0;0
"Pedro Correia";0,15;0,16;"jacarepaguá";c(-43.3906113869798, -22.9677354408671);0,22;0;0
"Pedro Taques";0,16;0,16;"penha circular";c(-43.2987548657586, -22.841504921121);0,54;0;0
"Penha I";0,14;0,18;"penha";c(-43.2771056792131, -22.8415926993824);0,89;0;0
"Penha II";0,14;0,18;"penha";c(-43.2767105540209, -22.8420651370518);0,89;0;0
"Pinto Teles";0,15;0,15;"campinho";c(-43.345846118204, -22.8883814464338);0,59;0;0
"Praça do Carmo";0,15;0,17;"penha circular";c(-43.2951189641039, -22.8388405406792);0,54;0;0
"Praça Seca";0,13;0,15;"praça seca";c(-43.3522468933293, -22.8977154782253);0,25;0;0
"Rio II";0,18;0,16;"barra da tijuca";c(-43.3842534627321, -22.9732340554215);0,36;1;0
"Santa Efigênia";0,12;0,14;"taquara";c(-43.3717586000416, -22.9366245185614);0,27;0;0
"Santa Luzia";0,23;0,2;"ramos";c(-43.2524872970055, -22.8551391537208);0,52;1;0
"Tanque";0,15;0,14;"tanque";c(-43.3613273612567, -22.9156807354763);0,7;1;0
"Taquara";0,13;0,14;"taquara";c(-43.3738461677731, -22.9241442082485);0,27;0;0
"Terminal Alvorada";0,21;0,2;"barra da tijuca";c(-43.3661108850176, -23.0004168875473);0,36;1;0
"Terminal Bandeira Brasil";0,13;0,14;"taquara";c(-43.3738524673419, -22.9240420121155);0,27;0;0
"Terminal Mestre Candeia";0,15;0,14;"tanque";c(-43.3612484069921, -22.9155625209396);0,7;1;0
"Terminal Paulo da Portela";0,2;0,15;"madureira";c(-43.3362182149092, -22.8775545674527);1,28;1;0
"Vaz Lobo";0,16;0,17;"vaz lobo";c(-43.3284149263213, -22.8566321213137);NA;0;NA
"Vicente de Carvalho";0,18;0,17;"vicente de carvalho";c(-43.3128653585093, -22.8527452564399);0,77;1;0
"Vila Kosmos - Nossa Senhora do Carmo";0,18;0,16;"vila kosmos";c(-43.3079832538882, -22.8497628124557);0,26;1;0
"Vila Queiroz";0,15;0,16;"madureira";c(-43.3304225787395, -22.8615156669213);1,28;0;0
