"fromPlace";"tx_15m";"tx_45m";"name_neighborhood";"geom";"tx_bairro";"check_1";"check_2"
"Américas Park";0,26;0,28;"barra da tijuca";c(-43.3897888820093, -23.0004242280552);0,59;0;0
"Barra Shopping";0,28;0,26;"barra da tijuca";c(-43.3606772801493, -22.9999900656462);0,59;1;0
"Benvindo de Novaes";0,27;0,26;"recreio dos bandeirantes";c(-43.4666819275127, -23.0143741469308);0,82;1;0
"Bosque da Barra";0,29;0,26;"barra da tijuca";c(-43.3774469924401, -23.0003172207476);0,59;1;0
"Cândido Magalhães";0,16;0,16;"campo grande";c(-43.5639818705713, -22.907628543661);0,98;0;0
"Cittá América";0,26;0,26;"barra da tijuca";c(-43.3232839401838, -23.0036091148336);0,59;0;0
"Freeway";0,26;0,26;"barra da tijuca";c(-43.3355268674243, -23.0005568384599);0,59;0;0
"Gelson Fonseca";0,28;0,26;"recreio dos bandeirantes";c(-43.4486495821346, -23.0097776192142);0,82;1;0
"Gilka Machado";0,26;0,26;"recreio dos bandeirantes";c(-43.4770683722659, -23.0170522811719);0,82;0;0
"Gláucio Gil";0,27;0,26;"recreio dos bandeirantes";c(-43.4589598041513, -23.012427098129);0,82;1;0
"Golfe Olímpico";0,3;0,28;"barra da tijuca";c(-43.4122048712784, -23.0000402418244);0,59;1;0
"Gramado";0,16;0,16;"campo grande";c(-43.5662726253001, -22.9036168136871);0,98;0;0
"Guignard";0,28;0,26;"recreio dos bandeirantes";c(-43.4526602350537, -23.010777416298);0,82;1;0
"Guiomar Novais";0,26;0,26;"recreio dos bandeirantes";c(-43.4826044762117, -23.0184336513328);0,82;0;0
"Interlagos";0,29;0,27;"barra da tijuca";c(-43.4174670588463, -23.0008779952439);0,59;1;0
"Nova Barra";0,26;0,26;"recreio dos bandeirantes";c(-43.4714580491635, -23.015603214072);0,82;0;0
"Novo Leblon";0,27;0,26;"barra da tijuca";c(-43.3831959695378, -23.0004150954128);0,59;1;0
"Parque das Rosas";0,28;0,26;"barra da tijuca";c(-43.352634473323, -23.0000915393357);0,59;1;0
"Parque Esperança";0,11;0,16;"campo grande";c(-43.5716397548451, -22.9068999897565);0,98;0;0
"Pedra de Itaúna";0,29;0,28;"barra da tijuca";c(-43.4240380330266, -23.0029153023168);0,59;1;0
"Pina Rangel";0,15;0,16;"campo grande";c(-43.5757675340631, -22.9075019807322);0,98;0;0
"Pontões/Barrasul";0,28;0,26;"barra da tijuca";c(-43.431945274532, -23.0054937981846);0,59;1;0
"Porto dos Cabritos";0,28;0,27;"barra da tijuca";c(-43.3291686306194, -23.001302782707);0,59;1;0
"Prefeito Alim Pedro";0,16;0,16;"campo grande";c(-43.566244319771, -22.9036477668985);0,98;0;0
"Recreio Shopping";0,27;0,26;"recreio dos bandeirantes";c(-43.4872819040919, -23.0196387886396);0,82;1;0
"Ricardo Marinho";0,28;0,26;"barra da tijuca";c(-43.3464586606437, -23.000177483766);0,59;1;0
"Riviera";0,28;0,26;"barra da tijuca";c(-43.3419293349761, -23.0002720888479);0,59;1;0
"Salvador Allende";0,27;0,26;"recreio dos bandeirantes";c(-43.442694194228, -23.0082819443063);0,82;1;0
"Santa Mônica Jardins";0,27;0,28;"barra da tijuca";c(-43.3984893353032, -23.0002200709918);0,59;0;0
"Terminal Alvorada";0,28;0,26;"barra da tijuca";c(-43.3661108850176, -23.0004168875473);0,59;1;0
"Terminal Jd. Oceânico";0,26;0,26;"barra da tijuca";c(-43.3117410171644, -23.0067832166788);0,59;0;0
